方向,日期,時間,當量總和,雨量,星期
往東,2016-04-06,17:00:00,2456.77587891,0.0,Wed
往東,2016-04-06,18:00:00,2937.0,0.0,Wed
往東,2016-04-06,19:00:00,2889.05172348,0.0,Wed
往東,2016-04-06,20:00:00,2656.0,0.0,Wed
往東,2016-04-06,21:00:00,2034.5,0.0,Wed
往東,2016-04-06,22:00:00,1807.5,0.0,Wed
往東,2016-04-06,23:00:00,1275.5,0.0,Wed
往東,2016-04-07,00:00:00,665.5,0.0,Thu
往東,2016-04-07,01:00:00,491.0,0.0,Thu
往東,2016-04-07,02:00:00,243.5,0.0,Thu
往東,2016-04-07,05:00:00,161.0,0.0,Thu
往東,2016-04-07,06:00:00,319.5,0.0,Thu
往東,2016-04-07,07:00:00,964.0,0.0,Thu
往東,2016-04-07,08:00:00,1753.5,0.0,Thu
往東,2016-04-07,09:00:00,2786.0,0.0,Thu
往東,2016-04-07,10:00:00,2551.5,0.0,Thu
往東,2016-04-07,11:00:00,2522.0,0.0,Thu
往東,2016-04-07,12:00:00,2362.5,0.0,Thu
往東,2016-04-07,13:00:00,2189.71191406,0.0,Thu
往東,2016-04-07,14:00:00,2131.0,0.0,Thu
往東,2016-04-07,15:00:00,2233.5,0.0,Thu
往東,2016-04-07,16:00:00,2556.95654297,0.0,Thu
往東,2016-04-07,17:00:00,2615.80505371,0.0,Thu
往東,2016-04-07,18:00:00,3046.0,0.0,Thu
往東,2016-04-07,19:00:00,3796.5677948,0.0,Thu
往東,2016-04-07,20:00:00,3464.0,0.0,Thu
往東,2016-04-07,21:00:00,3138.5,0.0,Thu
往東,2016-04-07,22:00:00,3110.0,0.0,Thu
往東,2016-04-07,23:00:00,2963.51708984,0.0,Thu
往東,2016-04-08,00:00:00,2512.0,0.0,Fri
往東,2016-04-08,01:00:00,2328.0,0.0,Fri
往東,2016-04-08,02:00:00,2222.5,0.0,Fri
往東,2016-04-08,04:00:00,2166.0,0.0,Fri
往東,2016-04-08,06:00:00,2201.0,0.0,Fri
往東,2016-04-08,07:00:00,2424.5,0.0,Fri
往東,2016-04-08,08:00:00,1890.92370605,0.0,Fri
往東,2016-04-08,09:00:00,2953.5,0.0,Fri
往東,2016-04-08,10:00:00,3085.0,0.0,Fri
往東,2016-04-08,11:00:00,3099.0,0.0,Fri
往東,2016-04-08,12:00:00,3116.0,0.0,Fri
往東,2016-04-08,13:00:00,3197.67791748,0.0,Fri
往東,2016-04-08,14:00:00,3007.0,0.0,Fri
往東,2016-04-08,15:00:00,3101.0,0.0,Fri
往東,2016-04-08,16:00:00,3187.96606445,0.0,Fri
往東,2016-04-08,17:00:00,3367.81054688,0.0,Fri
往東,2016-04-08,18:00:00,3636.0,0.0,Fri
往東,2016-04-08,19:00:00,3848.87287903,0.0,Fri
往東,2016-04-08,20:00:00,3554.0,0.0,Fri
往東,2016-04-08,21:00:00,3254.5,0.0,Fri
往東,2016-04-08,22:00:00,3307.5,0.0,Fri
往東,2016-04-08,23:00:00,2451.1270752,0.0,Fri
往東,2016-04-09,00:00:00,1033.5,0.0,Sat
往東,2016-04-09,01:00:00,667.5,0.0,Sat
往東,2016-04-09,02:00:00,447.5,0.0,Sat
往東,2016-04-09,06:00:00,379.5,0.0,Sat
往東,2016-04-09,07:00:00,655.0,0.0,Sat
往東,2016-04-09,08:00:00,1086.0,0.0,Sat
往東,2016-04-09,09:00:00,1656.5,0.0,Sat
往東,2016-04-09,10:00:00,2019.0,0.0,Sat
往東,2016-04-09,11:00:00,2225.5,0.0,Sat
往東,2016-04-09,12:00:00,2371.5,0.0,Sat
往東,2016-04-09,13:00:00,2493.0,0.0,Sat
往東,2016-04-09,14:00:00,2222.69494629,0.0,Sat
往東,2016-04-09,15:00:00,2340.5,0.0,Sat
往東,2016-04-09,16:00:00,2136.5,0.0,Sat
往東,2016-04-09,17:00:00,2213.67248535,0.0,Sat
往東,2016-04-09,18:00:00,2549.12072754,0.0,Sat
往東,2016-04-09,19:00:00,2233.84745789,0.0,Sat
往東,2016-04-09,20:00:00,1673.0,0.0,Sat
往東,2016-04-09,21:00:00,1509.0,0.0,Sat
往東,2016-04-09,22:00:00,1556.0,0.0,Sat
往東,2016-04-09,23:00:00,1808.5,0.0,Sat
往東,2016-04-10,00:00:00,1071.0,10.0,Sun
往東,2016-04-10,01:00:00,844.5,10.0,Sun
往東,2016-04-10,02:00:00,745.5,10.0,Sun
往東,2016-04-10,03:00:00,659.0,10.0,Sun
往東,2016-04-10,04:00:00,651.5,10.0,Sun
往東,2016-04-10,05:00:00,616.5,10.0,Sun
往東,2016-04-10,06:00:00,635.0,10.0,Sun
往東,2016-04-10,07:00:00,721.0,10.0,Sun
往東,2016-04-10,08:00:00,785.5,10.0,Sun
往東,2016-04-10,09:00:00,1055.0,10.0,Sun
往東,2016-04-10,10:00:00,1238.5,10.0,Sun
往東,2016-04-10,11:00:00,1493.5,10.0,Sun
往東,2016-04-10,12:00:00,1345.0,10.0,Sun
往東,2016-04-10,13:00:00,1565.5,10.0,Sun
往東,2016-04-10,14:00:00,1605.59320068,10.0,Sun
往東,2016-04-10,15:00:00,1785.0,10.0,Sun
往東,2016-04-10,16:00:00,2002.0,10.0,Sun
往東,2016-04-10,17:00:00,2002.71044922,10.0,Sun
往東,2016-04-10,18:00:00,2172.5,10.0,Sun
往東,2016-04-10,19:00:00,2042.5508461,10.0,Sun
往東,2016-04-10,20:00:00,2580.5,10.0,Sun
往東,2016-04-10,21:00:00,2722.0,10.0,Sun
往東,2016-04-10,22:00:00,2670.5,10.0,Sun
往東,2016-04-10,23:00:00,2364.0,10.0,Sun
往東,2016-04-11,00:00:00,2142.0,0.0,Mon
往東,2016-04-11,01:00:00,1975.0,0.0,Mon
往東,2016-04-11,02:00:00,1889.0,0.0,Mon
往東,2016-04-11,03:00:00,1867.0,0.0,Mon
往東,2016-04-11,06:00:00,1903.0,0.0,Mon
往東,2016-04-11,07:00:00,2123.0,0.0,Mon
往東,2016-04-11,08:00:00,1747.0,0.0,Mon
往東,2016-04-11,09:00:00,2851.0,0.0,Mon
往東,2016-04-11,10:00:00,2697.0,0.0,Mon
往東,2016-04-11,11:00:00,2674.0,0.0,Mon
往東,2016-04-11,12:00:00,2741.0,0.0,Mon
往東,2016-04-11,13:00:00,2603.0,0.0,Mon
往東,2016-04-11,14:00:00,2588.64404297,0.0,Mon
往東,2016-04-11,15:00:00,2700.0,0.0,Mon
往東,2016-04-11,16:00:00,2770.0,0.0,Mon
往東,2016-04-11,17:00:00,2905.06774902,0.0,Mon
往東,2016-04-11,18:00:00,3072.0,0.0,Mon
往東,2016-04-11,19:00:00,3359.11016846,0.0,Mon
往東,2016-04-11,20:00:00,3232.5,0.0,Mon
往東,2016-04-11,21:00:00,2803.5,0.0,Mon
往東,2016-04-11,22:00:00,2684.5,0.0,Mon
往東,2016-04-11,23:00:00,2472.5,0.0,Mon
往東,2016-04-12,00:00:00,2143.0,36.0,Tue
往東,2016-04-12,01:00:00,2003.0,36.0,Tue
往東,2016-04-12,02:00:00,1913.5,36.0,Tue
往東,2016-04-12,03:00:00,1867.0,36.0,Tue
往東,2016-04-12,05:00:00,1851.5,36.0,Tue
往東,2016-04-12,06:00:00,1925.0,36.0,Tue
往東,2016-04-12,07:00:00,2383.0,36.0,Tue
往東,2016-04-12,08:00:00,1618.5,36.0,Tue
往東,2016-04-12,09:00:00,2695.5,36.0,Tue
往東,2016-04-12,10:00:00,2684.0,36.0,Tue
往東,2016-04-12,11:00:00,2792.5,36.0,Tue
往東,2016-04-12,12:00:00,2811.5,36.0,Tue
往東,2016-04-12,13:00:00,2779.0,36.0,Tue
往東,2016-04-12,14:00:00,2679.56781006,36.0,Tue
往東,2016-04-12,15:00:00,2875.0,36.0,Tue
往東,2016-04-12,16:00:00,2895.5,36.0,Tue
往東,2016-04-12,17:00:00,2960.65258789,36.0,Tue
往東,2016-04-12,18:00:00,3230.0,36.0,Tue
往東,2016-04-12,19:00:00,3407.5,36.0,Tue
往東,2016-04-12,20:00:00,3197.05931854,36.0,Tue
往東,2016-04-12,21:00:00,2849.0,36.0,Tue
往東,2016-04-12,22:00:00,2795.0,36.0,Tue
往東,2016-04-12,23:00:00,2644.5,36.0,Tue
往東,2016-04-13,00:00:00,2186.5,8.5,Wed
往東,2016-04-13,01:00:00,2026.0,8.5,Wed
往東,2016-04-13,02:00:00,1896.0,8.5,Wed
往東,2016-04-13,03:00:00,1880.0,8.5,Wed
往東,2016-04-13,05:00:00,1853.5,8.5,Wed
往東,2016-04-13,06:00:00,1912.5,8.5,Wed
往東,2016-04-13,07:00:00,2102.5,8.5,Wed
往東,2016-04-13,08:00:00,1740.0,8.5,Wed
往東,2016-04-13,09:00:00,2648.5,8.5,Wed
往東,2016-04-13,10:00:00,2786.5,8.5,Wed
往東,2016-04-13,11:00:00,2784.0,8.5,Wed
往東,2016-04-13,12:00:00,2624.0,8.5,Wed
往東,2016-04-13,13:00:00,2662.0,8.5,Wed
往東,2016-04-13,14:00:00,2676.76269531,8.5,Wed
往東,2016-04-13,15:00:00,2811.5,8.5,Wed
往東,2016-04-13,16:00:00,2843.0,8.5,Wed
往東,2016-04-13,17:00:00,2951.03393555,8.5,Wed
往東,2016-04-13,18:00:00,3107.0,8.5,Wed
往東,2016-04-13,19:00:00,3412.0,8.5,Wed
往東,2016-04-13,20:00:00,3325.37931824,8.5,Wed
往東,2016-04-13,21:00:00,2885.5,8.5,Wed
往東,2016-04-13,22:00:00,2814.0,8.5,Wed
往東,2016-04-13,23:00:00,2521.5,8.5,Wed
往東,2016-04-14,00:00:00,2188.0,34.3,Thu
往東,2016-04-14,01:00:00,1992.0,34.3,Thu
往東,2016-04-14,02:00:00,1924.5,34.3,Thu
往東,2016-04-14,03:00:00,1865.40000153,34.3,Thu
往東,2016-04-14,04:00:00,1855.15517426,34.3,Thu
往東,2016-04-14,05:00:00,1838.01724243,34.3,Thu
往東,2016-04-14,06:00:00,1877.99999237,34.3,Thu
往東,2016-04-14,07:00:00,2095.36169434,34.3,Thu
往東,2016-04-14,08:00:00,1700.34484863,34.3,Thu
往東,2016-04-14,09:00:00,2691.94243622,34.3,Thu
往東,2016-04-14,10:00:00,2767.77587891,34.3,Thu
往東,2016-04-14,11:00:00,2630.34210205,34.3,Thu
往東,2016-04-14,12:00:00,2612.66668701,34.3,Thu
往東,2016-04-14,13:00:00,2615.0,34.3,Thu
往東,2016-04-14,14:00:00,2572.93481445,34.3,Thu
往東,2016-04-14,15:00:00,2721.3104248,34.3,Thu
往東,2016-04-14,16:00:00,2788.16668701,34.3,Thu
往東,2016-04-14,17:00:00,2854.25030518,34.3,Thu
往東,2016-04-14,18:00:00,3160.0345459,34.3,Thu
往東,2016-04-14,19:00:00,3454.78564453,34.3,Thu
往東,2016-04-14,20:00:00,3310.03677368,34.3,Thu
往東,2016-04-14,21:00:00,2841.5,34.3,Thu
往東,2016-04-14,22:00:00,2806.77270508,34.3,Thu
往東,2016-04-14,23:00:00,2611.30767822,34.3,Thu
往東,2016-04-15,00:00:00,2269.07897949,3.8,Fri
往東,2016-04-15,01:00:00,1997.13635254,3.8,Fri
往東,2016-04-15,02:00:00,1927.0,3.8,Fri
往東,2016-04-15,03:00:00,1887.1279068,3.8,Fri
往東,2016-04-15,04:00:00,1849.03448105,3.8,Fri
往東,2016-04-15,06:00:00,1859.24999619,3.8,Fri
往東,2016-04-15,07:00:00,2088.72415161,3.8,Fri
往東,2016-04-15,08:00:00,1675.0,3.8,Fri
往東,2016-04-15,09:00:00,2597.5,3.8,Fri
往東,2016-04-15,10:00:00,2732.0,3.8,Fri
往東,2016-04-15,11:00:00,2688.0,3.8,Fri
往東,2016-04-15,12:00:00,2700.0,3.8,Fri
往東,2016-04-15,13:00:00,2696.5,3.8,Fri
往東,2016-04-15,14:00:00,2633.00842285,3.8,Fri
往東,2016-04-15,15:00:00,2670.0,3.8,Fri
往東,2016-04-15,16:00:00,2815.0,3.8,Fri
往東,2016-04-15,17:00:00,2993.61010742,3.8,Fri
往東,2016-04-15,18:00:00,3056.0,3.8,Fri
往東,2016-04-15,19:00:00,3309.5,3.8,Fri
往東,2016-04-15,20:00:00,3210.97808075,3.8,Fri
往東,2016-04-15,21:00:00,2440.71432114,3.8,Fri
往東,2016-04-15,22:00:00,2744.22723389,3.8,Fri
往東,2016-04-15,23:00:00,2651.9118042,3.8,Fri
往東,2016-04-16,00:00:00,2275.68966675,68.8,Sat
往東,2016-04-16,01:00:00,2050.44827271,68.8,Sat
往東,2016-04-16,02:00:00,1965.57894897,68.8,Sat
往東,2016-04-16,03:00:00,1918.95453644,68.8,Sat
往東,2016-04-16,05:00:00,1878.65789795,68.8,Sat
往東,2016-04-16,06:00:00,1900.3181839,68.8,Sat
往東,2016-04-16,07:00:00,2003.71052551,68.8,Sat
往東,2016-04-16,08:00:00,2156.0,68.8,Sat
往東,2016-04-16,09:00:00,2384.18182373,68.8,Sat
往東,2016-04-16,10:00:00,2673.32763672,68.8,Sat
往東,2016-04-16,11:00:00,2854.5,68.8,Sat
往東,2016-04-16,12:00:00,2927.37939453,68.8,Sat
往東,2016-04-16,13:00:00,2839.0,68.8,Sat
往東,2016-04-16,14:00:00,2831.71051025,68.8,Sat
往東,2016-04-16,15:00:00,2811.96557617,68.8,Sat
往東,2016-04-16,16:00:00,2902.0,68.8,Sat
往東,2016-04-16,17:00:00,2935.72021484,68.8,Sat
往東,2016-04-16,18:00:00,3010.0,68.8,Sat
往東,2016-04-16,19:00:00,2927.5,68.8,Sat
往東,2016-04-16,20:00:00,2779.52631569,68.8,Sat
往東,2016-04-16,21:00:00,2764.5,68.8,Sat
往東,2016-04-16,22:00:00,2768.5,68.8,Sat
往東,2016-04-16,23:00:00,2239.5847168,68.8,Sat
往東,2016-04-17,00:00:00,925.5,0.0,Sun
往東,2016-04-17,01:00:00,530.5,0.0,Sun
往東,2016-04-17,04:00:00,205.810348511,0.0,Sun
往東,2016-04-17,06:00:00,296.021270752,0.0,Sun
往東,2016-04-17,07:00:00,548.071426392,0.0,Sun
往東,2016-04-17,08:00:00,995.275878906,0.0,Sun
往東,2016-04-17,09:00:00,1361.14404297,0.0,Sun
往東,2016-04-17,10:00:00,1489.21051025,0.0,Sun
往東,2016-04-17,11:00:00,1686.5,0.0,Sun
往東,2016-04-17,12:00:00,1677.02832031,0.0,Sun
往東,2016-04-17,13:00:00,1671.61535645,0.0,Sun
往東,2016-04-17,14:00:00,1734.0,0.0,Sun
往東,2016-04-17,15:00:00,1906.92370605,0.0,Sun
往東,2016-04-17,16:00:00,1901.08618164,0.0,Sun
往東,2016-04-17,17:00:00,1932.17248535,0.0,Sun
往東,2016-04-17,18:00:00,1946.5,0.0,Sun
往東,2016-04-17,19:00:00,1913.0,0.0,Sun
往東,2016-04-17,20:00:00,1939.39215088,0.0,Sun
往東,2016-04-17,21:00:00,1896.0,0.0,Sun
往東,2016-04-17,22:00:00,1675.5814209,0.0,Sun
往東,2016-04-17,23:00:00,1084.15515137,0.0,Sun
往東,2016-04-18,00:00:00,641.444458008,3.2,Mon
往東,2016-04-18,03:00:00,119.0,3.2,Mon
往東,2016-04-18,06:00:00,320.625,3.2,Mon
往東,2016-04-18,07:00:00,973.884613037,3.2,Mon
往東,2016-04-18,08:00:00,1856.28570557,3.2,Mon
往東,2016-04-18,09:00:00,2918.63793945,3.2,Mon
往東,2016-04-18,10:00:00,2314.0,3.2,Mon
往東,2016-04-18,11:00:00,2350.0,3.2,Mon
往東,2016-04-18,12:00:00,2293.5,3.2,Mon
往東,2016-04-18,13:00:00,2369.5,3.2,Mon
往東,2016-04-18,14:00:00,911.322021484,3.2,Mon
往東,2016-04-18,15:00:00,2307.0,3.2,Mon
往東,2016-04-18,16:00:00,2404.5,3.2,Mon
往東,2016-04-18,17:00:00,2549.89660645,3.2,Mon
往東,2016-04-18,18:00:00,2798.30261993,3.2,Mon
往東,2016-04-18,19:00:00,2680.20121765,3.2,Mon
往東,2016-04-18,20:00:00,2375.50004578,3.2,Mon
往東,2016-04-18,21:00:00,1709.43212891,3.2,Mon
往東,2016-04-18,22:00:00,1578.0,3.2,Mon
往東,2016-04-18,23:00:00,1140.5,3.2,Mon
往東,2016-04-19,00:00:00,622.0,36.6,Tue
往東,2016-04-19,01:00:00,393.0,36.6,Tue
往東,2016-04-19,02:00:00,257.0,36.6,Tue
往東,2016-04-19,03:00:00,140.5,36.6,Tue
往東,2016-04-19,04:00:00,106.5847435,36.6,Tue
往東,2016-04-19,06:00:00,293.0,36.6,Tue
往東,2016-04-19,07:00:00,925.431030273,36.6,Tue
往東,2016-04-19,08:00:00,1887.0,36.6,Tue
往東,2016-04-19,09:00:00,2967.0,36.6,Tue
往東,2016-04-19,10:00:00,2575.49861908,36.6,Tue
往東,2016-04-19,11:00:00,2271.13929749,36.6,Tue
往東,2016-04-19,12:00:00,2166.53063965,36.6,Tue
往東,2016-04-19,13:00:00,2051.6552124,36.6,Tue
往東,2016-04-19,14:00:00,1998.61016846,36.6,Tue
往東,2016-04-19,15:00:00,2378.0,36.6,Tue
往東,2016-04-19,16:00:00,2528.0,36.6,Tue
往東,2016-04-19,17:00:00,2482.92370605,36.6,Tue
往東,2016-04-19,18:00:00,2983.49085999,36.6,Tue
往東,2016-04-19,19:00:00,2880.96147156,36.6,Tue
往東,2016-04-19,20:00:00,2532.89634323,36.6,Tue
往東,2016-04-19,21:00:00,1923.0,36.6,Tue
往東,2016-04-19,22:00:00,1696.5,36.6,Tue
往東,2016-04-19,23:00:00,1308.0,36.6,Tue
往東,2016-04-20,00:00:00,724.428789377,44.7,Wed
往東,2016-04-20,02:00:00,281.982757568,44.7,Wed
往東,2016-04-20,06:00:00,361.0,44.7,Wed
往東,2016-04-20,07:00:00,996.5,44.7,Wed
往東,2016-04-20,08:00:00,1759.5,44.7,Wed
往東,2016-04-20,09:00:00,3146.58087158,44.7,Wed
往東,2016-04-20,10:00:00,2667.75121307,44.7,Wed
往東,2016-04-20,11:00:00,2473.5,44.7,Wed
往東,2016-04-20,12:00:00,2382.72300339,44.7,Wed
往東,2016-04-20,13:00:00,1997.89057159,44.7,Wed
往東,2016-04-20,14:00:00,2151.03570557,44.7,Wed
往東,2016-04-20,15:00:00,2467.5,44.7,Wed
往東,2016-04-20,16:00:00,2599.90044403,44.7,Wed
往東,2016-04-20,17:00:00,2529.17017365,44.7,Wed
往東,2016-04-20,18:00:00,2894.18969727,44.7,Wed
往東,2016-04-20,19:00:00,3139.99805832,44.7,Wed
往東,2016-04-20,20:00:00,2394.70588303,44.7,Wed
往東,2016-04-20,21:00:00,1795.70690918,44.7,Wed
往東,2016-04-20,22:00:00,1706.5,44.7,Wed
往東,2016-04-20,23:00:00,1287.0,44.7,Wed
往東,2016-04-21,00:00:00,710.346160889,0.0,Thu
往東,2016-04-21,01:00:00,430.413787842,0.0,Thu
往東,2016-04-21,02:00:00,243.0,0.0,Thu
往東,2016-04-21,03:00:00,159.0,0.0,Thu
往東,2016-04-21,05:00:00,170.0,0.0,Thu
往東,2016-04-21,06:00:00,323.0,0.0,Thu
往東,2016-04-21,07:00:00,930.321411133,0.0,Thu
往東,2016-04-21,08:00:00,1779.03448486,0.0,Thu
往東,2016-04-21,09:00:00,2775.33898926,0.0,Thu
往東,2016-04-21,10:00:00,2543.80985641,0.0,Thu
往東,2016-04-21,11:00:00,2351.01000214,0.0,Thu
往東,2016-04-21,12:00:00,2300.5,0.0,Thu
往東,2016-04-21,13:00:00,2181.79309082,0.0,Thu
往東,2016-04-21,14:00:00,2163.48847198,0.0,Thu
往東,2016-04-21,15:00:00,2271.125,0.0,Thu
往東,2016-04-21,16:00:00,2548.45446777,0.0,Thu
往東,2016-04-21,17:00:00,2654.32556152,0.0,Thu
往東,2016-04-21,18:00:00,3076.5,0.0,Thu
往東,2016-04-21,19:00:00,3068.5,0.0,Thu
往東,2016-04-21,20:00:00,2529.07627106,0.0,Thu
往東,2016-04-21,21:00:00,2040.79493141,0.0,Thu
往東,2016-04-21,22:00:00,1959.49192142,0.0,Thu
往東,2016-04-21,23:00:00,1425.5,0.0,Thu
往東,2016-04-22,00:00:00,731.913818359,0.0,Fri
往東,2016-04-22,02:00:00,253.0,0.0,Fri
往東,2016-04-22,06:00:00,281.574462891,0.0,Fri
往東,2016-04-22,07:00:00,907.965515137,0.0,Fri
往東,2016-04-22,08:00:00,1811.0,0.0,Fri
往東,2016-04-22,09:00:00,2826.0,0.0,Fri
往東,2016-04-22,10:00:00,2743.76837158,0.0,Fri
往東,2016-04-22,11:00:00,2481.66538239,0.0,Fri
往東,2016-04-22,12:00:00,2431.0,0.0,Fri
往東,2016-04-22,13:00:00,2373.53393555,0.0,Fri
往東,2016-04-22,14:00:00,2330.38983154,0.0,Fri
往東,2016-04-22,15:00:00,2455.5,0.0,Fri
往東,2016-04-22,16:00:00,2433.0,0.0,Fri
往東,2016-04-22,17:00:00,2682.51733398,0.0,Fri
往東,2016-04-22,18:00:00,2578.95790482,0.0,Fri
往東,2016-04-22,19:00:00,2839.74536514,0.0,Fri
往東,2016-04-22,20:00:00,2386.07632637,0.0,Fri
往東,2016-04-22,21:00:00,1980.0,0.0,Fri
往東,2016-04-22,22:00:00,1850.0,0.0,Fri
往東,2016-04-22,23:00:00,1554.0,0.0,Fri
往東,2016-04-23,00:00:00,953.5,0.0,Sat
