YMD,roadname,diretion,timezone,carValume,weekday,rain
20160411,堤頂大道,往南,上午尖峰,13293.6102295,1,0
20160412,堤頂大道,往南,上午尖峰,12355.0,2,36
20160413,堤頂大道,往南,上午尖峰,12355.0,2,9
20160414,堤頂大道,往南,上午尖峰,12065.4830322,4,34
20160415,堤頂大道,往南,上午尖峰,12316.8389893,5,4
20160418,堤頂大道,往南,上午尖峰,12685.0,1,3
20160419,堤頂大道,往南,上午尖峰,12308.1610107,2,37
20160420,堤頂大道,往南,上午尖峰,12202.1120605,3,45
20160421,堤頂大道,往南,上午尖峰,11713.5238953,4,0
20160422,堤頂大道,往南,上午尖峰,11840.1609497,5,0
20160425,堤頂大道,往南,上午尖峰,13769.1524658,1,83
20160426,堤頂大道,往南,上午尖峰,12294.041748,2,22
20160428,堤頂大道,往南,上午尖峰,11822.6864014,4,0
20160505,堤頂大道,往南,上午尖峰,9656.92370605,4,0
20160506,堤頂大道,往南,上午尖峰,8891.50524902,5,2
20160509,堤頂大道,往南,上午尖峰,8684.77124023,1,0
20160510,堤頂大道,往南,上午尖峰,8772.0,2,0
20160511,堤頂大道,往南,上午尖峰,9350.5,3,5
20160512,堤頂大道,往南,上午尖峰,9555.18640137,4,0
20160513,堤頂大道,往南,上午尖峰,8339.0,5,6
20160516,堤頂大道,往南,上午尖峰,7480.26733398,1,0
20160517,堤頂大道,往南,上午尖峰,8851.40673828,2,37
20160518,堤頂大道,往南,上午尖峰,8658.18969727,3,60
20160519,堤頂大道,往南,上午尖峰,9211.51721191,4,1
20160520,堤頂大道,往南,上午尖峰,7991.03387451,5,0
20160523,堤頂大道,往南,上午尖峰,8513.0,1,7
20160524,堤頂大道,往南,上午尖峰,8157.31347656,2,1
20160525,堤頂大道,往南,上午尖峰,7873.0,3,0
20160526,堤頂大道,往南,上午尖峰,8209.33056641,4,0
20160527,堤頂大道,往南,上午尖峰,7830.80505371,5,23
20160530,堤頂大道,往南,上午尖峰,8709.29663086,1,0
20160531,堤頂大道,往南,上午尖峰,8759.14794922,2,0
20160601,堤頂大道,往南,上午尖峰,8324.09326172,3,0
20160602,堤頂大道,往南,上午尖峰,8263.25427246,4,36
20160603,堤頂大道,往南,上午尖峰,8418.64331055,5,9
20160606,堤頂大道,往南,上午尖峰,8556.81347656,1,34
20160607,堤頂大道,往南,上午尖峰,8143.38574219,2,4
20160610,堤頂大道,往南,上午尖峰,2884.04232788,5,3
20160613,堤頂大道,往南,上午尖峰,6895.06774902,1,37
20160614,堤頂大道,往南,上午尖峰,6707.74633789,2,45
20160615,堤頂大道,往南,上午尖峰,8154.62567139,3,0
20160616,堤頂大道,往南,上午尖峰,8400.45593262,4,0
20160617,堤頂大道,往南,上午尖峰,8273.20336914,5,83
20160618,堤頂大道,往南,上午尖峰,4222.66101074,6,22
20160619,堤頂大道,往南,上午尖峰,3535.5,7,0
20160620,堤頂大道,往南,上午尖峰,8600.98046875,1,0
20160621,堤頂大道,往南,上午尖峰,8120.92736816,2,2
20160622,堤頂大道,往南,上午尖峰,8199.05090332,3,0
20160623,堤頂大道,往南,上午尖峰,7935.70605469,4,0
20160624,堤頂大道,往南,上午尖峰,7780.14257812,5,5
20160625,堤頂大道,往南,上午尖峰,4255.0,6,0
20160626,堤頂大道,往南,上午尖峰,2871.53393555,7,6
20160627,堤頂大道,往南,上午尖峰,8149.34680176,1,0
20160628,堤頂大道,往南,上午尖峰,7834.63122559,2,37
20160629,堤頂大道,往南,上午尖峰,8275.92382812,3,60
20160630,堤頂大道,往南,上午尖峰,8180.69494629,4,1
20160706,堤頂大道,往南,上午尖峰,7422.40686035,3,0
20160707,堤頂大道,往南,上午尖峰,7523.24761963,4,15
20160710,堤頂大道,往南,上午尖峰,2873.0,7,44
20160711,堤頂大道,往南,上午尖峰,7703.93103027,1,7
20160712,堤頂大道,往南,上午尖峰,7649.68640137,2,3
20160713,堤頂大道,往南,上午尖峰,8457.16967773,3,0
20160714,堤頂大道,往南,上午尖峰,7289.05273438,4,0
20160715,堤頂大道,往南,上午尖峰,7627.76831055,5,0
20160716,堤頂大道,往南,上午尖峰,4214.09094238,6,0
20160717,堤頂大道,往南,上午尖峰,3082.90829468,7,2
20160718,堤頂大道,往南,上午尖峰,2987.06774902,7,22
20160719,堤頂大道,往南,上午尖峰,7734.57202148,2.0,5
20160720,堤頂大道,往南,上午尖峰,7790.15258789,3,16
20160721,堤頂大道,往南,上午尖峰,8329.13952637,4,0
20160722,堤頂大道,往南,上午尖峰,8111.82202148,5,0
20160723,堤頂大道,往南,上午尖峰,4029.0,6,0
20160724,堤頂大道,往南,上午尖峰,2653.0,7,0
20160725,堤頂大道,往南,上午尖峰,8120.09667969,1,0
20160726,堤頂大道,往南,上午尖峰,8013.55090332,2,0
20160727,堤頂大道,往南,上午尖峰,8001.27648926,3,0
20160728,堤頂大道,往南,上午尖峰,7798.92382812,4,0
20160729,堤頂大道,往南,上午尖峰,7776.12097168,5,0
20160730,堤頂大道,往南,上午尖峰,4188.23522949,6,0
20160731,堤頂大道,往南,上午尖峰,2895.0,7,0
20160801,堤頂大道,往南,上午尖峰,8625.12536621,1,1
20160802,堤頂大道,往南,上午尖峰,8066.91760254,2,0
20160803,堤頂大道,往南,上午尖峰,8123.5378418,3,0
20160804,堤頂大道,往南,上午尖峰,8196.70324707,4,0
20160805,堤頂大道,往南,上午尖峰,7791.68103027,5,0
20160807,堤頂大道,往南,上午尖峰,2597.5,7,15
20160810,堤頂大道,往南,上午尖峰,7953.25109863,3,9
20160811,堤頂大道,往南,上午尖峰,7280.68554688,4,26
20160812,堤頂大道,往南,上午尖峰,7969.56781006,5,0
20160813,堤頂大道,往南,上午尖峰,4078.0,6,6
20160814,堤頂大道,往南,上午尖峰,2951.0,7,0
20160815,堤頂大道,往南,上午尖峰,7829.11865234,1,0
20160816,堤頂大道,往南,上午尖峰,7891.60546875,2,0
20160817,堤頂大道,往南,上午尖峰,7903.67114258,3,0
20160818,堤頂大道,往南,上午尖峰,8416.55303955,4,20
20160819,堤頂大道,往南,上午尖峰,8126.24584961,5,2
20160820,堤頂大道,往南,上午尖峰,3972.22033691,6,0
20160821,堤頂大道,往南,上午尖峰,3023.5,7,0
20160822,堤頂大道,往南,上午尖峰,8096.78930664,1,0
20160823,堤頂大道,往南,上午尖峰,8124.44061279,2,1
20160824,堤頂大道,往南,上午尖峰,8488.25256348,3,0
20160825,堤頂大道,往南,上午尖峰,8370.53271484,4,0
20160826,堤頂大道,往南,上午尖峰,8350.15881348,5,0
20160827,堤頂大道,往南,上午尖峰,4414.84210205,6,36
20160828,堤頂大道,往南,上午尖峰,3345.5,7,15
20160829,堤頂大道,往南,上午尖峰,9663.07556152,1,0
20160830,堤頂大道,往南,上午尖峰,9795.93164062,2,0
20160831,堤頂大道,往南,上午尖峰,9733.24633789,3,0
20160901,堤頂大道,往南,上午尖峰,10129.567749,4,0
20160902,堤頂大道,往南,上午尖峰,9507.08789062,5,12
20160903,堤頂大道,往南,上午尖峰,5032.72875977,6,2
20160904,堤頂大道,往南,上午尖峰,3126.5,7,1
20160905,堤頂大道,往南,上午尖峰,9732.63085938,1,1
20160906,堤頂大道,往南,上午尖峰,10059.0459595,2,5
20160907,堤頂大道,往南,上午尖峰,9765.80725098,3,2
