YMD,roadname,diretion,timezone,carValume,weekday,rain
20160411,民權東路,往西,下午尖峰,2099.90673828,1,0
20160412,民權東路,往西,下午尖峰,2361.0,2,36
20160413,民權東路,往西,下午尖峰,2361.0,2,9
20160414,民權東路,往西,下午尖峰,2118.68505859,4,34
20160415,民權東路,往西,下午尖峰,2125.82202148,5,4
20160418,民權東路,往西,下午尖峰,2512.56762695,1,3
20160419,民權東路,往西,下午尖峰,2462.87182617,2,37
20160420,民權東路,往西,下午尖峰,2363.13305664,3,45
20160421,民權東路,往西,下午尖峰,2350.41381836,4,0
20160422,民權東路,往西,下午尖峰,2383.47729492,5,0
20160425,民權東路,往西,下午尖峰,2427.17797852,1,83
20160426,民權東路,往西,下午尖峰,2432.60180664,2,22
20160428,民權東路,往西,下午尖峰,2398.05932617,4,0
20160505,民權東路,往西,下午尖峰,2607.5,4,0
20160506,民權東路,往西,下午尖峰,2348.12719727,5,2
20160509,民權東路,往西,下午尖峰,2413.5,1,0
20160510,民權東路,往西,下午尖峰,2374.32202148,2,0
20160511,民權東路,往西,下午尖峰,2490.67797852,3,5
20160512,民權東路,往西,下午尖峰,2448.0,4,0
20160513,民權東路,往西,下午尖峰,2581.0,5,6
20160516,民權東路,往西,下午尖峰,2720.5,1,0
20160517,民權東路,往西,下午尖峰,2508.88134766,2,37
20160518,民權東路,往西,下午尖峰,2695.0,3,60
20160519,民權東路,往西,下午尖峰,2464.00854492,4,1
20160520,民權東路,往西,下午尖峰,2443.10180664,5,0
20160523,民權東路,往西,下午尖峰,2458.11010742,1,7
20160524,民權東路,往西,下午尖峰,2821.40673828,2,1
20160525,民權東路,往西,下午尖峰,2301.89819336,3,0
20160526,民權東路,往西,下午尖峰,2399.0,4,0
20160527,民權東路,往西,下午尖峰,2772.49145508,5,23
20160530,民權東路,往西,下午尖峰,2366.5,1,0
20160531,民權東路,往西,下午尖峰,2403.5,2,0
20160601,民權東路,往西,下午尖峰,2615.0,3,0
20160602,民權東路,往西,下午尖峰,2543.5,4,36
20160603,民權東路,往西,下午尖峰,2410.5,5,9
20160606,民權東路,往西,下午尖峰,2540.0,1,34
20160607,民權東路,往西,下午尖峰,2640.9152832,2,4
20160610,民權東路,往西,下午尖峰,1559.5,5,3
20160613,民權東路,往西,下午尖峰,2483.0,1,37
20160614,民權東路,往西,下午尖峰,3187.82202148,2,45
20160615,民權東路,往西,下午尖峰,2470.0,3,0
20160616,民權東路,往西,下午尖峰,2921.0,4,0
20160617,民權東路,往西,下午尖峰,2644.5,5,83
20160618,民權東路,往西,下午尖峰,2035.0,6,22
20160619,民權東路,往西,下午尖峰,1914.0,7,0
20160620,民權東路,往西,下午尖峰,2900.5847168,1,0
20160621,民權東路,往西,下午尖峰,2603.73730469,2,2
20160622,民權東路,往西,下午尖峰,2430.27954102,3,0
20160623,民權東路,往西,下午尖峰,2505.0,4,0
20160624,民權東路,往西,下午尖峰,2434.5,5,5
20160625,民權東路,往西,下午尖峰,1889.0,6,0
