YMD,roadname,diretion,timezone,carValume,weekday,rain
20160411,舊宗路,往北,下午尖峰,5209.87280273,1,0
20160412,舊宗路,往北,下午尖峰,5047.79321289,2,36
20160413,舊宗路,往北,下午尖峰,5047.79321289,2,9
20160414,舊宗路,往北,下午尖峰,6568.06884766,4,34
20160415,舊宗路,往北,下午尖峰,7322.05273438,5,4
20160418,舊宗路,往北,下午尖峰,6893.18261719,1,3
20160419,舊宗路,往北,下午尖峰,5939.22192383,2,37
20160420,舊宗路,往北,下午尖峰,6978.0,3,45
20160421,舊宗路,往北,下午尖峰,4996.41381836,4,0
20160422,舊宗路,往北,下午尖峰,5289.50305176,5,0
20160425,舊宗路,往北,下午尖峰,7109.39526367,1,83
20160426,舊宗路,往北,下午尖峰,6995.5,2,22
20160428,舊宗路,往北,下午尖峰,7138.75341797,4,0
20160505,舊宗路,往北,下午尖峰,6943.47460938,4,0
20160506,舊宗路,往北,下午尖峰,7037.59326172,5,2
20160509,舊宗路,往北,下午尖峰,7047.85192871,1,0
20160510,舊宗路,往北,下午尖峰,7080.73852539,2,0
20160511,舊宗路,往北,下午尖峰,7090.20727539,3,5
20160512,舊宗路,往北,下午尖峰,7104.46728516,4,0
20160513,舊宗路,往北,下午尖峰,7412.69970703,5,6
20160516,舊宗路,往北,下午尖峰,6730.0,1,0
20160517,舊宗路,往北,下午尖峰,6571.0,2,37
20160518,舊宗路,往北,下午尖峰,6942.86450195,3,60
20160519,舊宗路,往北,下午尖峰,6837.5,4,1
20160520,舊宗路,往北,下午尖峰,7187.48303223,5,0
20160523,舊宗路,往北,下午尖峰,7048.82202148,1,7
20160524,舊宗路,往北,下午尖峰,6695.84204102,2,1
20160525,舊宗路,往北,下午尖峰,6797.81567383,3,0
20160526,舊宗路,往北,下午尖峰,7086.0,4,0
20160527,舊宗路,往北,下午尖峰,5783.0,5,23
20160530,舊宗路,往北,下午尖峰,6881.0,1,0
20160531,舊宗路,往北,下午尖峰,6652.13549805,2,0
20160601,舊宗路,往北,下午尖峰,6496.0,3,0
20160602,舊宗路,往北,下午尖峰,7369.13562012,4,36
20160603,舊宗路,往北,下午尖峰,6697.71191406,5,9
20160606,舊宗路,往北,下午尖峰,7114.35595703,1,34
20160607,舊宗路,往北,下午尖峰,6444.5,2,4
20160610,舊宗路,往北,下午尖峰,5274.5,5,3
20160613,舊宗路,往北,下午尖峰,6750.5,1,37
20160614,舊宗路,往北,下午尖峰,7115.0,2,45
20160615,舊宗路,往北,下午尖峰,6741.38989258,3,0
20160616,舊宗路,往北,下午尖峰,6859.0,4,0
20160617,舊宗路,往北,下午尖峰,6557.0,5,83
20160618,舊宗路,往北,下午尖峰,6212.5,6,22
20160619,舊宗路,往北,下午尖峰,5222.5,7,0
20160620,舊宗路,往北,下午尖峰,6880.5,1,0
20160621,舊宗路,往北,下午尖峰,7145.0,2,2
20160622,舊宗路,往北,下午尖峰,6826.82202148,3,0
20160623,舊宗路,往北,下午尖峰,6899.0,4,0
20160624,舊宗路,往北,下午尖峰,7670.25830078,5,5
20160625,舊宗路,往北,下午尖峰,6017.0,6,0
20160626,舊宗路,往北,下午尖峰,5752.0,7,6
20160627,舊宗路,往北,下午尖峰,6253.13549805,1,0
20160628,舊宗路,往北,下午尖峰,7281.5,2,37
20160629,舊宗路,往北,下午尖峰,7576.81982422,3,60
20160630,舊宗路,往北,下午尖峰,8750.24389648,4,1
20160706,舊宗路,往北,下午尖峰,6750.61865234,3,0
20160707,舊宗路,往北,下午尖峰,7432.0,4,15
20160710,舊宗路,往北,下午尖峰,6677.5,7,44
20160711,舊宗路,往北,下午尖峰,7361.0,1,7
20160712,舊宗路,往北,下午尖峰,7502.9152832,2,3
20160713,舊宗路,往北,下午尖峰,7252.5,3,0
20160714,舊宗路,往北,下午尖峰,7226.55932617,4,0
20160715,舊宗路,往北,下午尖峰,7382.4831543,5,0
20160716,舊宗路,往北,下午尖峰,6027.5,6,0
20160717,舊宗路,往北,下午尖峰,5737.0,7,2
20160718,舊宗路,往北,下午尖峰,5864.0,7,22
20160719,舊宗路,往北,下午尖峰,7012.5,2.0,5
20160720,舊宗路,往北,下午尖峰,8140.0,3,16
20160721,舊宗路,往北,下午尖峰,7112.5,4,0
20160722,舊宗路,往北,下午尖峰,7612.5,5,0
20160723,舊宗路,往北,下午尖峰,6057.0,6,0
20160724,舊宗路,往北,下午尖峰,5641.0,7,0
20160725,舊宗路,往北,下午尖峰,7198.0,1,0
20160726,舊宗路,往北,下午尖峰,7473.93212891,2,0
20160727,舊宗路,往北,下午尖峰,7073.0,3,0
20160728,舊宗路,往北,下午尖峰,6229.42370605,4,0
20160729,舊宗路,往北,下午尖峰,6860.57617188,5,0
20160730,舊宗路,往北,下午尖峰,6253.0,6,0
20160731,舊宗路,往北,下午尖峰,5663.45166016,7,0
20160801,舊宗路,往北,下午尖峰,6638.58325195,1,1
20160802,舊宗路,往北,下午尖峰,6960.31347656,2,0
20160803,舊宗路,往北,下午尖峰,7003.52331543,3,0
20160804,舊宗路,往北,下午尖峰,7204.17797852,4,0
20160805,舊宗路,往北,下午尖峰,7255.31359863,5,0
20160807,舊宗路,往北,下午尖峰,5391.90673828,7,15
20160810,舊宗路,往北,下午尖峰,5824.44909668,3,9
20160811,舊宗路,往北,下午尖峰,7111.25341797,4,26
20160812,舊宗路,往北,下午尖峰,7069.90661621,5,0
20160813,舊宗路,往北,下午尖峰,5901.42102051,6,6
20160814,舊宗路,往北,下午尖峰,5484.62072754,7,0
20160815,舊宗路,往北,下午尖峰,7613.13708496,1,0
20160816,舊宗路,往北,下午尖峰,8144.48510742,2,0
20160817,舊宗路,往北,下午尖峰,7683.33056641,3,0
20160818,舊宗路,往北,下午尖峰,6648.71069336,4,20
20160819,舊宗路,往北,下午尖峰,6996.03393555,5,2
20160820,舊宗路,往北,下午尖峰,5737.76269531,6,0
20160821,舊宗路,往北,下午尖峰,6979.19189453,7,0
20160822,舊宗路,往北,下午尖峰,7065.13256836,1,0
20160823,舊宗路,往北,下午尖峰,6726.5390625,2,1
20160824,舊宗路,往北,下午尖峰,6099.51696777,3,0
20160825,舊宗路,往北,下午尖峰,6893.02539062,4,0
20160826,舊宗路,往北,下午尖峰,7075.4152832,5,0
20160827,舊宗路,往北,下午尖峰,5872.74572754,6,36
20160828,舊宗路,往北,下午尖峰,5922.30505371,7,15
20160829,舊宗路,往北,下午尖峰,6646.59326172,1,0
20160830,舊宗路,往北,下午尖峰,6648.27124023,2,0
20160831,舊宗路,往北,下午尖峰,6768.63793945,3,0
20160901,舊宗路,往北,下午尖峰,6608.65246582,4,0
20160902,舊宗路,往北,下午尖峰,4961.20349121,5,12
20160903,舊宗路,往北,下午尖峰,6116.3729248,6,2
20160904,舊宗路,往北,下午尖峰,8359.94909668,7,1
20160905,舊宗路,往北,下午尖峰,7347.33056641,1,1
20160906,舊宗路,往北,下午尖峰,6934.18640137,2,5
20160907,舊宗路,往北,下午尖峰,6910.33093262,3,2
20160910,舊宗路,往北,下午尖峰,6809.44274902,6,35
20160911,舊宗路,往北,下午尖峰,5830.84484863,7,0
20160912,舊宗路,往北,下午尖峰,7301.38085938,1,6
20160913,舊宗路,往北,下午尖峰,5995.65551758,2,2
20160914,舊宗路,往北,下午尖峰,6830.01599121,3,19
20160915,舊宗路,往北,下午尖峰,5029.73730469,4,1
20160916,舊宗路,往北,下午尖峰,5393.19494629,5,1
20160917,舊宗路,往北,下午尖峰,4008.84747314,6,65
20160918,舊宗路,往北,下午尖峰,5311.34741211,7,29
