YMD,roadname,diretion,timezone,carValume,weekday,rain
20160411,民權東路,往西,上午尖峰,2033.0,1,0
20160412,民權東路,往西,上午尖峰,2043.73681641,2,36
20160413,民權東路,往西,上午尖峰,2043.73681641,2,9
20160414,民權東路,往西,上午尖峰,2041.05407715,4,34
20160415,民權東路,往西,上午尖峰,2050.09326172,5,4
20160418,民權東路,往西,上午尖峰,1843.09326172,1,3
20160419,民權東路,往西,上午尖峰,1823.75427246,2,37
20160420,民權東路,往西,上午尖峰,1722.4375,3,45
20160421,民權東路,往西,上午尖峰,1676.5,4,0
20160422,民權東路,往西,上午尖峰,1846.0,5,0
20160425,民權東路,往西,上午尖峰,1876.5,1,83
20160426,民權東路,往西,上午尖峰,1731.0,2,22
20160428,民權東路,往西,上午尖峰,1822.02636719,4,0
20160505,民權東路,往西,上午尖峰,1825.0,4,0
20160506,民權東路,往西,上午尖峰,1757.5,5,2
20160509,民權東路,往西,上午尖峰,1736.05090332,1,0
20160510,民權東路,往西,上午尖峰,2042.5,2,0
20160511,民權東路,往西,上午尖峰,1718.44067383,3,5
20160512,民權東路,往西,上午尖峰,1733.79309082,4,0
20160513,民權東路,往西,上午尖峰,1796.0,5,6
20160516,民權東路,往西,上午尖峰,1907.0,1,0
20160517,民權東路,往西,上午尖峰,1662.5,2,37
20160518,民權東路,往西,上午尖峰,1714.5,3,60
20160519,民權東路,往西,上午尖峰,1698.5,4,1
20160520,民權東路,往西,上午尖峰,1726.0,5,0
20160523,民權東路,往西,上午尖峰,1786.5,1,7
20160524,民權東路,往西,上午尖峰,1715.84484863,2,1
20160525,民權東路,往西,上午尖峰,1716.85595703,3,0
20160526,民權東路,往西,上午尖峰,1723.0,4,0
20160527,民權東路,往西,上午尖峰,1750.5,5,23
20160530,民權東路,往西,上午尖峰,1654.5,1,0
20160531,民權東路,往西,上午尖峰,1741.0,2,0
20160601,民權東路,往西,上午尖峰,1663.5,3,0
20160602,民權東路,往西,上午尖峰,1619.0,4,36
20160603,民權東路,往西,上午尖峰,1680.17529297,5,9
20160606,民權東路,往西,上午尖峰,1634.0,1,34
20160607,民權東路,往西,上午尖峰,1647.82202148,2,4
20160610,民權東路,往西,上午尖峰,786.0,5,3
20160613,民權東路,往西,上午尖峰,1967.03442383,1,37
20160614,民權東路,往西,上午尖峰,1822.5,2,45
20160615,民權東路,往西,上午尖峰,1721.16101074,3,0
20160616,民權東路,往西,上午尖峰,1645.77124023,4,0
