YMD,roadname,diretion,timezone,carValume,weekday,rain
20160411,舊宗路,往南,上午尖峰,1106.46081543,1,0
20160412,舊宗路,往南,上午尖峰,1095.44042969,2,36
20160413,舊宗路,往南,上午尖峰,1095.44042969,2,9
20160414,舊宗路,往南,上午尖峰,1009.0,4,34
20160415,舊宗路,往南,上午尖峰,973.0,5,4
20160418,舊宗路,往南,上午尖峰,1115.0,1,3
20160419,舊宗路,往南,上午尖峰,877.686462402,2,37
20160420,舊宗路,往南,上午尖峰,873.875,3,45
20160421,舊宗路,往南,上午尖峰,897.0,4,0
20160422,舊宗路,往南,上午尖峰,1183.59399414,5,0
20160425,舊宗路,往南,上午尖峰,1106.46081543,1,83
20160426,舊宗路,往南,上午尖峰,1095.44042969,2,22
20160428,舊宗路,往南,上午尖峰,1142.49304199,4,0
20160505,舊宗路,往南,上午尖峰,920.5,4,0
20160506,舊宗路,往南,上午尖峰,909.0,5,2
20160509,舊宗路,往南,上午尖峰,891.5,1,0
20160510,舊宗路,往南,上午尖峰,1095.44042969,2,0
20160511,舊宗路,往南,上午尖峰,1205.85913086,3,5
20160512,舊宗路,往南,上午尖峰,1142.49304199,4,0
20160513,舊宗路,往南,上午尖峰,1183.59399414,5,6
20160516,舊宗路,往南,上午尖峰,1106.46081543,1,0
20160517,舊宗路,往南,上午尖峰,936.567810059,2,37
20160518,舊宗路,往南,上午尖峰,922.0,3,60
20160519,舊宗路,往南,上午尖峰,903.0,4,1
20160520,舊宗路,往南,上午尖峰,944.0,5,0
20160523,舊宗路,往南,上午尖峰,998.0,1,7
20160524,舊宗路,往南,上午尖峰,1752.0,2,1
20160525,舊宗路,往南,上午尖峰,893.457641602,3,0
20160526,舊宗路,往南,上午尖峰,933.5,4,0
20160527,舊宗路,往南,上午尖峰,941.0,5,23
20160530,舊宗路,往南,上午尖峰,848.5,1,0
20160531,舊宗路,往南,上午尖峰,974.0,2,0
20160601,舊宗路,往南,上午尖峰,903.0,3,0
20160602,舊宗路,往南,上午尖峰,1047.5,4,36
20160603,舊宗路,往南,上午尖峰,1025.5,5,9
20160606,舊宗路,往南,上午尖峰,907.5,1,34
20160607,舊宗路,往南,上午尖峰,1001.5,2,4
20160610,舊宗路,往南,上午尖峰,296.0,5,3
20160613,舊宗路,往南,上午尖峰,1107.5,1,37
20160614,舊宗路,往南,上午尖峰,1191.0,2,45
20160615,舊宗路,往南,上午尖峰,886.5,3,0
20160616,舊宗路,往南,上午尖峰,932.0,4,0
20160617,舊宗路,往南,上午尖峰,841.5,5,83
20160618,舊宗路,往南,上午尖峰,442.5,6,22
20160619,舊宗路,往南,上午尖峰,259.5,7,0
20160620,舊宗路,往南,上午尖峰,868.533874512,1,0
20160621,舊宗路,往南,上午尖峰,877.0,2,2
20160622,舊宗路,往南,上午尖峰,883.0,3,0
20160623,舊宗路,往南,上午尖峰,899.5,4,0
20160624,舊宗路,往南,上午尖峰,832.0,5,5
20160625,舊宗路,往南,上午尖峰,424.5,6,0
20160626,舊宗路,往南,上午尖峰,265.5,7,6
20160627,舊宗路,往南,上午尖峰,805.0,1,0
20160628,舊宗路,往南,上午尖峰,868.5,2,37
20160629,舊宗路,往南,上午尖峰,946.0,3,60
20160630,舊宗路,往南,上午尖峰,950.0,4,1
20160706,舊宗路,往南,上午尖峰,868.97454834,3,0
20160707,舊宗路,往南,上午尖峰,965.5,4,15
20160710,舊宗路,往南,上午尖峰,272.0,7,44
20160711,舊宗路,往南,上午尖峰,918.0,1,7
20160712,舊宗路,往南,上午尖峰,991.5,2,3
20160713,舊宗路,往南,上午尖峰,956.0,3,0
20160714,舊宗路,往南,上午尖峰,904.5,4,0
20160715,舊宗路,往南,上午尖峰,1008.5,5,0
20160716,舊宗路,往南,上午尖峰,499.5,6,0
20160717,舊宗路,往南,上午尖峰,259.5,7,2
20160718,舊宗路,往南,上午尖峰,242.5,7,22
20160719,舊宗路,往南,上午尖峰,870.0,2.0,5
20160720,舊宗路,往南,上午尖峰,825.5,3,16
20160721,舊宗路,往南,上午尖峰,1371.0,4,0
20160722,舊宗路,往南,上午尖峰,851.5,5,0
20160723,舊宗路,往南,上午尖峰,381.5,6,0
