YMD,roadname,diretion,timezone,carValume,weekday,rain
20160411,堤頂大道,往北,下午尖峰,14735.75,1,0
20160412,堤頂大道,往北,下午尖峰,14884.25,2,36
20160413,堤頂大道,往北,下午尖峰,14884.25,2,9
20160414,堤頂大道,往北,下午尖峰,15601.8572998,4,34
20160415,堤頂大道,往北,下午尖峰,16598.1428833,5,4
20160418,堤頂大道,往北,下午尖峰,14486.0028076,1,3
20160419,堤頂大道,往北,下午尖峰,14706.0028076,2,37
20160420,堤頂大道,往北,下午尖峰,15113.7767334,3,45
20160421,堤頂大道,往北,下午尖峰,14651.1022949,4,0
20160422,堤頂大道,往北,下午尖峰,15068.0983887,5,0
20160425,堤頂大道,往北,下午尖峰,16992.25,1,83
20160426,堤頂大道,往北,下午尖峰,15288.3636475,2,22
20160428,堤頂大道,往北,下午尖峰,15263.0,4,0
20160505,堤頂大道,往北,下午尖峰,13489.5,4,0
20160506,堤頂大道,往北,下午尖峰,13688.0,5,2
20160509,堤頂大道,往北,下午尖峰,12672.75,1,0
20160510,堤頂大道,往北,下午尖峰,12577.0,2,0
20160511,堤頂大道,往北,下午尖峰,13349.0,3,5
20160512,堤頂大道,往北,下午尖峰,12383.0,4,0
20160513,堤頂大道,往北,下午尖峰,14107.0,5,6
20160516,堤頂大道,往北,下午尖峰,12434.25,1,0
20160517,堤頂大道,往北,下午尖峰,11908.25,2,37
20160518,堤頂大道,往北,下午尖峰,12826.25,3,60
20160519,堤頂大道,往北,下午尖峰,12636.25,4,1
20160520,堤頂大道,往北,下午尖峰,13066.5,5,0
20160523,堤頂大道,往北,下午尖峰,12279.0,1,7
20160524,堤頂大道,往北,下午尖峰,13109.9597168,2,1
20160525,堤頂大道,往北,下午尖峰,12759.25,3,0
20160526,堤頂大道,往北,下午尖峰,12473.5,4,0
20160527,堤頂大道,往北,下午尖峰,13757.75,5,23
20160530,堤頂大道,往北,下午尖峰,12658.0,1,0
20160531,堤頂大道,往北,下午尖峰,12321.2669678,2,0
20160601,堤頂大道,往北,下午尖峰,13738.25,3,0
20160602,堤頂大道,往北,下午尖峰,13661.3455811,4,36
20160603,堤頂大道,往北,下午尖峰,13933.7164307,5,9
