方向,日期,時間,當量總和,平均速度,平均佔有率,平均車間距,星期
往東,2016-04-01,17:00:00,2639.3157959,47.3238563538,7.23333317041,137.414998372,Fri
往東,2016-04-01,18:00:00,2914.0,45.8319282532,7.80833333731,133.29166921,Fri
往東,2016-04-01,19:00:00,2945.5,43.1625862122,8.03166629871,132.476666768,Fri
往東,2016-04-01,20:00:00,2686.0,45.0391413371,7.01833343506,136.938334147,Fri
往東,2016-04-01,21:00:00,2219.5,50.0056393941,5.38499997556,150.808334351,Fri
往東,2016-04-01,22:00:00,1959.0,50.6165835063,4.31166663518,158.331665039,Fri
往東,2016-04-01,23:00:00,1552.5,50.6551628113,3.27000012,174.224998474,Fri
往東,2016-04-02,00:00:00,1029.0,51.9674822489,1.95500005099,193.59332784,Sat
往東,2016-04-02,01:00:00,608.0,54.3510665894,1.04000000469,220.846669515,Sat
往東,2016-04-02,02:00:00,451.5,55.7211939494,0.763333335519,233.581670125,Sat
往東,2016-04-02,03:00:00,293.0,57.8753649394,0.508333311727,242.591664632,Sat
往東,2016-04-02,05:00:00,238.0,57.8738327026,0.458333336438,244.090001424,Sat
往東,2016-04-02,06:00:00,346.5,58.060265859,0.619999971241,234.803334554,Sat
往東,2016-04-02,07:00:00,703.0,53.3525886536,1.64500003184,214.451670329,Sat
往東,2016-04-02,08:00:00,1000.0,52.1733385722,2.13500008235,203.993331909,Sat
往東,2016-04-02,09:00:00,1545.0,50.2260322571,3.34499998887,182.458328247,Sat
往東,2016-04-02,10:00:00,2163.5,51.4421628316,4.57499991854,158.003331502,Sat
往東,2016-04-02,11:00:00,2453.5,52.6427726746,5.48166654011,148.831667582,Sat
往東,2016-04-02,12:00:00,2639.88982964,52.8920860291,5.88166664044,139.928334554,Sat
往東,2016-04-02,13:00:00,2489.72875977,52.5737088521,5.57833312949,144.641665141,Sat
往東,2016-04-02,14:00:00,2270.0,54.9649264018,4.62500027816,147.573331197,Sat
往東,2016-04-02,15:00:00,2311.0,52.8536389669,4.93666638931,150.610003153,Sat
往東,2016-04-02,16:00:00,2327.5,50.9507878621,5.05000006656,148.373336792,Sat
往東,2016-04-02,17:00:00,2274.70690918,52.2152048747,4.94999988874,151.583333333,Sat
往東,2016-04-02,18:00:00,2283.5,51.0333328247,5.16666662693,150.246665955,Sat
往東,2016-04-02,19:00:00,2072.0,52.4785003662,4.98000026743,157.011667887,Sat
往東,2016-04-02,20:00:00,1650.0,53.1848106384,3.63500004013,169.225001017,Sat
往東,2016-04-02,21:00:00,1618.5,53.5048001607,3.43166676909,171.566660563,Sat
往東,2016-04-02,22:00:00,1568.5,54.4322535197,3.27499996622,171.660003662,Sat
往東,2016-04-02,23:00:00,1118.39831543,55.2904370626,7.12833333947,194.358332316,Sat
往東,2016-04-03,00:00:00,614.0,54.1651865641,1.18333332986,218.826665243,Sun
往東,2016-04-03,01:00:00,471.0,57.724966685,0.799999998262,229.16166687,Sun
往東,2016-04-03,02:00:00,316.5,61.051911672,0.586666706329,240.958333333,Sun
往東,2016-04-03,03:00:00,215.0,61.1191775004,0.388333323722,246.501663208,Sun
往東,2016-04-03,04:00:00,208.0,59.8754018148,0.398333318532,246.96500651,Sun
往東,2016-04-03,05:00:00,192.5,60.0435651143,0.384999996672,247.533335368,Sun
往東,2016-04-03,06:00:00,306.5,59.0523020426,0.601666669051,239.086664836,Sun
往東,2016-04-03,07:00:00,574.5,54.6511891683,1.16166670124,222.83833313,Sun
