date,eq,day
105.04.11,242417.5634,1
105.04.12,245459.5554,2
105.04.13,245459.5554,2
105.04.14,250301.4704,4
105.04.15,258740.9455,5
105.04.18,230578.0319,1
105.04.19,236081.8754,2
105.04.20,230405.9847,3
105.04.21,219232.339,4
105.04.22,237993.6217,5
105.04.25,258002.4609,1
105.04.26,232859.1134,2
105.04.28,242760.9908,4
105.05.05,242345.84,4
105.05.06,251767.4409,5
105.05.09,219116.8953,1
105.05.10,236461.5689,2
105.05.11,248069.3488,3
105.05.12,238091.85,4
105.05.13,220660.2878,5
105.05.16,225540.9043,1
105.05.17,234022.3888,2
105.05.18,231265.66,3
105.05.19,233393.3604,4
105.05.20,239777.9882,5
105.05.23,220258.9749,1
105.05.24,228703.2521,2
105.05.25,214664.7575,3
105.05.26,228693.7344,4
105.05.27,242832.7154,5
105.05.30,226471.6619,1
105.05.31,231136.3814,2
105.06.01,233927.2691,3
105.06.02,239144.9193,4
105.06.03,243330.1652,5
105.06.06,230682.5336,1
105.06.07,238156.4999,2
105.06.10,170540.6799,5
105.06.13,218598.2482,1
105.06.14,222788.8956,2
105.06.15,231981.6447,3
105.06.16,234793.5315,4
105.06.17,239809.6767,5
105.06.18,198616.6824,6
105.06.19,176966.4362,7
105.06.20,224056.774,1
105.06.21,231041.4819,2
105.06.22,227160.6664,3
105.06.23,232005.4019,4
105.06.24,245894.179,5
105.06.25,200573.7202,6
105.06.26,172299.5872,7
105.06.27,227759.1037,1
105.06.28,226379.4983,2
105.06.29,233821.8122,3
105.06.30,242540.8113,4
105.07.06,244752.4459,3
105.07.07,226456.2041,4
105.07.10,172365.5785,7
105.07.11,224629.3137,1
105.07.12,197983.7816,2
105.07.13,147604.2909,3
105.07.14,231038.0633,4
105.07.15,243542.5582,5
105.07.16,195987.2453,6
105.07.17,172452.2888,7
105.07.18,173104.5458,1
105.07.19,226070.7682,2
105.07.20,220575.7839,3
105.07.21,235003.0338,4
105.07.22,240462.604,5
105.07.23,191538.978,6
105.07.24,170780.3676,7
105.07.25,222524.4893,1
105.07.26,225790.2611,2
105.07.27,231968.7234,3
105.07.28,231130.1051,4
105.07.29,229195.9507,5
105.07.30,194011.3702,6
105.07.31,171598.0874,7
105.08.01,198450.9298,1
105.08.02,225010.7576,2
105.08.03,216625.7018,3
105.08.04,216032.624,4
105.08.05,226962.203,5
105.08.07,173894.5025,7
105.08.10,205250.1147,3
105.08.11,229716.2232,4
105.08.12,227603.7379,5
105.08.13,193607.4023,6
105.08.14,172078.9081,7
105.08.15,229415.69,1
105.08.16,237913.1911,2
105.08.17,202567.2051,3
105.08.18,207081.7181,4
105.08.19,251536.0349,5
105.08.20,190835.779,6
105.08.21,176960.2295,7
105.08.22,203188.5796,1
105.08.23,226014.4628,2
105.08.24,242384.6791,3
105.08.25,232996.1602,4
105.08.26,250415.2491,5
105.08.27,200965.9425,6
105.08.28,179696.6852,7
105.08.29,233175.6912,1
105.08.30,241869.0368,2
105.08.31,244464.5993,3
105.09.01,245411.1327,4
105.09.02,255288.4807,5
105.09.03,213733.3682,6
105.09.04,182158.6042,7
105.09.05,240931.1011,1
105.09.06,239515.1489,2
105.09.07,251672.3811,3
105.09.10,243994.0211,6
105.09.11,188343.0291,7
105.09.12,258986.0343,1
105.09.13,271354.9468,2
105.09.14,257688.7662,3
105.09.15,170612.868,4
105.09.16,171193.2135,5
105.09.17,127648.1574,6
105.09.18,167421.8526,7
