YMD,roadname,diretion,timezone,carValume,weekday,rain
20160823,堤頂大道,往南,下午尖峰,12534.2172241,2,1
20160824,堤頂大道,往南,下午尖峰,8114.38891602,3,0
20160825,堤頂大道,往南,下午尖峰,10076.4022217,4,0
20160826,堤頂大道,往南,下午尖峰,10745.7282715,5,0
20160827,堤頂大道,往南,下午尖峰,8573.77954102,6,36
20160828,堤頂大道,往南,下午尖峰,8373.94915771,7,15
20160829,堤頂大道,往南,下午尖峰,11672.1971436,1,0
20160830,堤頂大道,往南,下午尖峰,11708.3687744,2,0
20160831,堤頂大道,往南,下午尖峰,11315.1794434,3,0
20160901,堤頂大道,往南,下午尖峰,11566.1877441,4,0
20160902,堤頂大道,往南,下午尖峰,10097.4868774,5,12
20160903,堤頂大道,往南,下午尖峰,9181.88134766,6,2
20160904,堤頂大道,往南,下午尖峰,8454.22045898,7,1
20160905,堤頂大道,往南,下午尖峰,11588.0351562,1,1
20160906,堤頂大道,往南,下午尖峰,11624.8692627,2,5
20160907,堤頂大道,往南,下午尖峰,12012.0479736,3,2
20160910,堤頂大道,往南,下午尖峰,10628.4909668,6,35
20160911,堤頂大道,往南,下午尖峰,8090.36712646,7,0
20160912,堤頂大道,往南,下午尖峰,11238.1400146,1,6
20160913,堤頂大道,往南,下午尖峰,12054.2290039,2,2
20160914,堤頂大道,往南,下午尖峰,11605.1781616,3,19
20160915,堤頂大道,往南,下午尖峰,6490.99038696,4,1
20160916,堤頂大道,往南,下午尖峰,7208.69049072,5,1
20160917,堤頂大道,往南,下午尖峰,4323.79089355,6,65
20160918,堤頂大道,往南,下午尖峰,7083.15527344,7,29
